Uid,NickName,username,country,골드 수량,선물 수량,선물을 보낸 유저 수,선물 보낸 유저들 정보
"4744454618611712","신비🔞","Mika0611","KR","287","10","8","5375232842989568, 6146579849084928, 4830445314572288, 4546603223416832, 4796462068989952, 5720958612340736, 5389922672115712, 5587713912537088"
"5596511703269376","Rossy ❤️","Rossy1","KR","100","1","1","5897311734333440"
"5439055788834816","Yejin 예진🔞💦","lyxinhgai","VN","100","1","1","5559668495417344"
"6285759384256512","아리샤💕arisha","feel0100","KR","222","4","3","6431003671068672, 5904632213733376, 6647620184702976"
"5112568879054848","Pei Pei🩵","pei0827oO","TW","100","1","1","5812056015831040"
"6002571433345024","연시💓yonsi","sexytage777","KR","100","1","1","5955520544178176"
"4923109789466624","정병소녀","ghghgigi","KR","100","1","1","6555665698783232"
"5747929579847680","아톰","4.8_a__","KR","100","1","1","4755963161411584"
"5796568576098304","연주하는곰탱","vbears2","KR","100","1","1","5304405810610176"
"5480299343446016","可可Coco🐰코코","coco520","TW","100","1","1","5398812882436096"
"4601848631197696","설아","SEOLA24","KR","100","1","1","5824353494695936"
"4873739163729920","🐰나나윤 nanayun🐰","nana.un","KR","266","4","4","5889954697052160, 4613692530688000, 5249951383486464, 4940859688419328"
"5899207849869312","하율","h.yuluu","KR","210","7","3","5631148570181632, 5720958612340736, 5946243383885824"
"4623571743735808","Akatsuki Rei🐰","akatsukireii","CN","100","1","1","6456428968345600"
"6111090733809664","Lyasya","Lyasya","RU","100","1","1","4808242708938752"
"6555857854201856","Arin_정아린","arin_jj99","KR","100","1","1","5137507683270656"
"5299158341976064","MIMOLEMON🍋","Mimolemon","JP","100","1","1","6497339658272768"
"5124999221411840","安妮塔","rurutest2","TW","100","1","1","6291564376424448"
"5008692048887808","xy","nahari","KR","100","1","1","4843617606762496"
"4785569513930752","鈞 Tsai","tsai_921","TW","111","2","2","4903556573102080, 6511455606996992"
"5804407263395840","Sprite 方祺媛（雪碧）","sprite0719ss","TW","166","3","3","6665335894769664, 4579428322050048, 6602027452137472"
"4646277012062208","채라 Chaera🐹","chae__.ra","KR","110","6","2","5758145638760448, 4757013644771328"
"4582231280254976","楊瑜瑜🐟","cici0119","TW","110","10","2","6623798685925376, 5219112181956608"
"5004374177021952","나나","nana12341543","KR","77","3","2","5720958612340736, 5891858929942528"
"6584306857017344","심쿵가온 kimgaon","pkjy1003","KR","55","1","1","6017775185494016"
"6317722738425856","PINGU","_littleppj","TH","66","2","2","5818993728618496, 6385645907148800"
"6606673588584448","野呂ふわり【わ🍙】","fuwa_nyan","JP","66","2","2","4522389937127424, 5871535267315712"
"6629231925723136","元欣","19940529sha","TW","55","1","1","4803952739483648"
"4668116532264960","horijeanne","horijeanne","JP","55","1","1","6639263587041280"
"5790811301937152","BIZCUITBEER","bizcuitbeer","TH","55","1","1","6265237141258240"
"5344528072245248","💋속옷모델지수💋","aaronn","KR","66","2","2","5720958612340736, 6075368670101504"
"5479571717423104","준한🌟","onsus750","KR","55","1","1","6597837481377792"
"5981751582982144","솬즈","thkss_swAnz","KR","55","1","1","6597837481377792"
"4803266997452800","뉴나랑","newna_ya","KR","55","1","1","6495632264855552"
"5853542110789632","Iris 謝侑芯 (TWN#1)","irisirisss168","TW","44","4","1","5037283118481408"
"5119060811776000",".","dayoung36","KR","33","3","1","4679440063594496"
"5256471523426304","🔮","jiyuul","KR","33","3","1","5664055488217088"
