Uid,NickName,username,country,골드 수량,선물 수량,선물을 보낸 유저 수,선물 보낸 유저들 정보
"6086695883702272","시아 Sia🥑","sia_s2022","KR","166688","51","8","6398631703019520, 5652773686280192, 6538959133212672, 5315812731977728, 5939398845857792, 5870461459628032, 4966019525050368, 6041793248559104"
"6311888081190912","🌸Sakuraღ유아💕","sakura_YuA","KR","233690","443","49","6706241353220096, 6046411302764544, 5745487842050048, 6556731197161472, 5986367418990592, 4787087145304064, 6527592607842304, 6107417956909056, 6435739152547840, 5284297175138304, 4721880401641472, 5778863252766720, 5874987392237568, 5664083787579392, 4673254893748224, 4828828802023424, 4845620378533888, 6191893239955456, 4620230718455808, 6430788548755456, 4806107095171072, 5736732523364352, 6491602989940736, 6709228708888576, 6024406172499968, 6593905241161728, 6184392749481984, 6082882357231616, 6323050233659392, 4531442485100544, 6345561143574528, 5870461459628032, 6625322185457664, 4574926385381376, 4583436728860672, 5115641275678720, 5320210313969664, 5410055046627328, 5698355227656192, 6458528514637824, 4755712469303296, 6415386334003200, 6287810849079296, 5638496909983744, 5212021164539904, 4693117576740864, 5172968409989120, 5850879199084544, 5113189445599232"
"6109650699354112","G바겐","gclass0714","KR","136306","134","44","4914521623953408, 5165837830455296, 4781266093408256, 6507720461189120, 5525145630474240, 4776757054078976, 5725317758320640, 6201918843387904, 5387840348422144, 6698714025230336, 6212112248602624, 6491602989940736, 5669754709082112, 5117179361165312, 6542291723223040, 4891160726405120, 6537738096279552, 4530582212247552, 6623542625763328, 6625322185457664, 6024406172499968, 6593905241161728, 5164991692079104, 5972532624687104, 6123227346829312, 6649736359378944, 6673674723852288, 6657699167993856, 6097402549829632, 5183711354093568, 4614440547647488, 6530431203999744, 5213190111494144, 5727229497638912, 6542523709456384, 4552587147083776, 6696875842142208, 6172857072812032, 5699155214401536, 5790183841464320, 5870461459628032, 6612331900633088, 6674737003692032, 6640192861896704"
"6256156932767744","김유나","dengd2ng","KR","60006","81","10","4709251643801600, 5066709725806592, 5399440666066944, 5514049006403584, 5742547148406784, 4670372889952256, 6264006653116416, 4675689036054528, 4577992888221696, 5373480675770368"
"5769317179523072","달순이","cloud_8030","KR","97864","33","11","4901429133377536, 5207517261791232, 5023183529639936, 5377931595677696, 5924954600439808, 6406884962467840, 4927644498198528, 6662107454832640, 4803046857834496, 6509771970772992, 5616775203061760"
"6736647941193728","miyu 💜","love_miyu","KR","41471","43","12","5675642468564992, 6458311520223232, 5870461459628032, 6523811399925760, 6315304935882752, 6649001149333504, 6723315784941568, 5993341448683520, 6010138017529856, 6105054112972800, 4763757576519680, 5908142300135424"
"5253799544225792","🌸아인🔞🌸","Ainnee2378","KR","100947","161","57","5984225993097216, 5562021669896192, 4733466932609024, 4828828802023424, 5663905126678528, 4533828846157824, 5622982205374464, 5664812041830400, 4651410858573824, 5313175818928128, 4763757576519680, 4927644498198528, 5212214167142400, 6133977049137152, 4531442485100544, 5190388285505536, 5406042030473216, 5351273114304512, 6647620184702976, 5311002776240128, 5322308351557632, 4709321829842944, 5055398456918016, 5062048862502912, 5768788836155392, 5956999940276224, 6491602989940736, 6586866304352256, 4825304741904384, 5745487842050048, 6193230871855104, 6328679682736128, 6346034624266240, 4843541676359680, 5233566694572032, 6137720462311424, 4777387145166848, 5463565987414016, 5477167546564608, 4762890802495488, 4960316334211072, 5110903180492800, 5912276897693696, 6275512265474048, 4843121435803648, 5735105080524800, 6240747687968768, 5660814284619776, 4706421537570816, 5540986350272512, 4904013697056768, 5699155214401536, 5804039257260032, 6298384275144704, 5353035829280768, 5484005354045440, 5530807295672320"
"6525173473083392","전보연 boyeon","171jun2021","KR","31545","17","9","5816023233658880, 4590157227687936, 6362351801008128, 6287810849079296, 5292363764596736, 5117234487951360, 4734348407537664, 4838509314441216, 6457903536275456"
"6730549089075200","반서지","banseozi","KR","74108","250","40","6559515521777664, 6507720461189120, 4927644498198528, 5563188243529728, 4921927486275584, 5663905126678528, 5196458372562944, 5912276897693696, 4706763092066304, 5062751263326208, 4996626595577856, 6604223988170752, 4954480966696960, 4753230114193408, 4705412683988992, 5678913642430464, 6589488484909056, 5870461459628032, 5993468652486656, 5089070489534464, 5212214167142400, 6075083665899520, 6697236348338176, 5581473156825088, 5635903101861888, 5785736391622656, 6690639000698880, 6223399693254656, 5269294402437120, 5205075324633088, 5190388285505536, 5062807596630016, 5544433575395328, 5787754254499840, 5830913994981376, 6491602989940736, 6189785091866624, 4946977258078208, 5770200383291392, 6042174494015488"
"5554389991489536","고은비","shushu_22","KR","20233","23","7","5219927957110784, 5581473156825088, 5048593910267904, 5675642468564992, 6486634350706688, 6596215883104256, 6486403925278720"
"5051075711401984","다송","dearsongi","KR","25471","12","5","5201076535230464, 4942361894912000, 5392994812493824, 4814430169923584, 5398269297491968"
"5077262085455872","백설양 Snow","uoujjj","KR","19878","40","19","5780310080749568, 5578271093555200, 5798095553953792, 5696851935494144, 5719289708478464, 4657003098210304, 6478155584045056, 5857740003147776, 6042174494015488, 6571342256013312, 4636199850737664, 4601867048910848, 6444270221066240, 6633474150694912, 4671620141088768, 5050486017556480, 6457903536275456, 5894485755953152, 6287810849079296"
"5387501776863232","한주","hanjoo_","KR","13732","33","5","5429322041196544, 5616775203061760, 4927644498198528, 4543072919158784, 6551943457734656"
"6044127457378304","채온","kimsoomjjin","KR","13525","20","6","5652773686280192, 4631371785109504, 6036695060905984, 5678636116738048, 5689232883843072, 6551943457734656"
"6433134942027776","선아","Sun_Ah","KR","11873","23","9","5789081991970816, 4927644498198528, 6606104371068928, 5787754254499840, 5698115640426496, 5581473156825088, 6662107454832640, 5429322041196544, 4744591605694464"
"5974147107717120","하루짱","ruzzxng","KR","62788","11","8","4677588158906368, 6482271711133696, 5390836510031872, 4984091220770816, 4580179546013696, 6046411302764544, 6058990626537472, 6126045174300672"
"4723101646651392","Hyo원","hyoone","KR","18225","50","19","5084452854038528, 4570969757581312, 5563188243529728, 5966534835830784, 4927644498198528, 4839486385094656, 5657303726227456, 5311772350414848, 6662107454832640, 5388838528483328, 6386923728994304, 4552587147083776, 4750210540699648, 5805926677020672, 4552080678060032, 5120416142917632, 5627263758565376, 4517875492454400, 4780758739582976"
"5523876213227520","묘화","myohwa00","KR","21377","56","19","6693234074124288, 6278692818059264, 5164947260964864, 5557184598966272, 5228016615096320, 5685575031128064, 5742547148406784, 4856045030801408, 6644623374221312, 4815524681940992, 5658483165954048, 4830445314572288, 4914581800288256, 5404574639783936, 5689419264491520, 4691454729453568, 6329028942430208, 5756888548638720, 6707839457624064"
"6329543424147456","여니 🐰","Yeoni_Mochi","KR","9060","47","6","5991790596521984, 5755821698711552, 5742547148406784, 6418847970164736, 5776074686529536, 4879705769312256"
"5892209944887296","Now__on 현재","now__ness","KR","6736","51","2","6408108509429760, 6109972339556352"
"5395499315298304","Katainao🐰","katainao","TH","6943","14","3","6651629143654400, 4613183803424768, 5298021734350848"
"6093701669650432","새옴","om0322","KR","12750","37","21","5742547148406784, 4916518445252608, 4693242802274304, 6709228708888576, 5525069063454720, 5121685856256000, 6136591177809920, 6002902437855232, 4899648879001600, 5217382172917760, 5865801773875200, 4826794073391104, 5885574941376512, 6015235002793984, 5876699785723904, 5798836269285376, 6303123756679168, 5150205408378880, 5192739512844288, 6156103286390784, 4527542865297408"
"5517105789206528","유나💦","jkjk6958","KR","6743","10","5","6345561143574528, 4823374318731264, 6147824689217536, 4960316334211072, 5284297175138304"
"6412214268723200","진다율 Jin da yul","jin_dayul","KR","6551","29","7","6369241609732096, 5190388285505536, 5754086473203712, 6647620184702976, 5430565602000896, 5127498621648896, 5957222891585536"
"4729993722920960","지니🩷","maximgini","KR","5920","12","5","5354333169057792, 5696895718719488, 4638531464265728, 6418847970164736, 4960457862217728"
"5131197783277568","히츄💋","s2chuuuu","KR","8856","69","17","5652773686280192, 6329932313591808, 6396893224370176, 5505378377596928, 6328488882470912, 4638531464265728, 6551943457734656, 4672260776984576, 5742586838056960, 4975245280280576, 4983785094250496, 5321713854251008, 4585350913785856, 4827315310755840, 6647620184702976, 5117234487951360, 6674737003692032"
"6187867401551872","아음","Aheumm","KR","5297","8","4","5652773686280192, 4839486385094656, 5742547148406784, 4627230419648512"
"5673040634314752","K-cup꿀하린🍯HARIN","da2018","KR","6023","5","3","6525779178487808, 5745284381802496, 6287810849079296"
"6687286190342144","은아","Y2ujin._","KR","8238","7","2","6530979913072640, 5652773686280192"
"5314440357281792","하윤","asdfzxcv","KR","4111","2","1","6091050735304704"
"5356650787700736","세림잉","serimm11","KR","4651","108","4","5516937539682304, 5658483165954048, 5581932485214208, 5934967357112320"
"5275074515763200","모구모구🍑 mogu","moguu__mogu","KR","15426","19","8","6651629143654400, 6326035593494528, 4742889265823744, 5786106474987520, 5738377904193536, 5351273607856128, 5320482834219008, 6160496975478784"
"4646277012062208","채라 Chaera🐹","chae__.ra","KR","5429","31","13","6064895805292544, 5937619996049408, 5076343946870784, 5934642701205504, 5759417446498304, 6491602989940736, 6698325353234432, 5304540519923712, 5404307367329792, 4776349373693952, 6331872533413888, 4874376195145728, 5183711354093568"
"5409713759780864","ddiddi","ddiddi","KR","4652","52","5","4921952352731136, 4818895984852992, 6225975483498496, 5889954697052160, 5280240709992448"
"4908035789094912","미시차유리","MissyChayuri","KR","4537","23","9","6225975483498496, 5212214167142400, 6755054590427136, 5870461459628032, 6345561143574528, 5529228097421312, 6207660232998912, 5513933169229824, 6296015248490496"
"4662511717384192","지아🌸apple zia🍎🌸","zia__seo","KR","3530","14","1","6313247479365632"
"5941859422437376","이린","2lyn_98","KR","4688","11","5","5652773686280192, 4733466932609024, 5563188243529728, 6000249764970496, 5687368053686272"
"6539938813050880","유망고","umango","KR","3203","9","2","5106936027414528, 4585350913785856"
"5171065413369856","미스김 누나🖤","women2025","KR","13497","151","33","5563188243529728, 4552587147083776, 5062751263326208, 4631371785109504, 6214823597768704, 4788665818742784, 5071262075387904, 4839486385094656, 4892906903109632, 5870461459628032, 4879705769312256, 4517453310787584, 6101474473738240, 5528871798439936, 4823374318731264, 6610498492891136, 5983877481037824, 6698325353234432, 5366006161473536, 5393802744496128, 6207660232998912, 5882932947517440, 5477049423495168, 5668152606064640, 6647620184702976, 4585350913785856, 4946977258078208, 5544433575395328, 4550624347881472, 5242002691719168, 6457903536275456, 4787191173808128, 6042174494015488"
"5471747361144832","오하임","ZRATnURZF3","KR","3033","4","4","5514713845792768, 5351525427511296, 6473551678996480, 5191324864348160"
"6262927209070592","유치땅","youchi0_0","KR","7712","60","13","6046411302764544, 4532136367554560, 6447711243010048, 4754161489739776, 5895229769842688, 5565227258937344, 5878484646559744, 6179362190524416, 4979815635288064, 6697804379521024, 6643898853294080, 5756793199853568, 5391915713101824"
"4964788154007552","쑤 Soo💋","swai_sy","KR","6355","6","5","6345561143574528, 5212214167142400, 4733466932609024, 5067447980589056, 6236026741063680"
